0 100
0.1 106.003
0.2 111.623
0.3 116.901
0.4 121.828
0.5 126.389
0.6 130.571
0.7 134.369
0.8 137.784
0.9 140.825
1 143.509
1.1 145.856
1.2 147.893
1.3 149.644
1.4 151.139
1.5 152.404
1.6 153.466
1.7 154.349
1.8 155.076
1.9 155.666
2 156.138
2.1 156.509
2.2 156.791
2.3 156.998
2.4 157.141
2.5 157.228
2.6 157.267
2.7 157.266
2.8 157.229
2.9 157.163
3 157.072
3.1 156.959
3.2 156.827
3.3 156.679
3.4 156.518
3.5 156.346
3.6 156.164
3.7 155.973
3.8 155.776
3.9 155.572
4 155.364
4.1 155.152
4.2 154.936
4.3 154.717
4.4 154.496
4.5 154.273
4.6 154.049
4.7 153.823
4.8 153.597
4.9 153.37
5 153.142
5.1 152.915
5.2 152.687
5.3 152.46
5.4 152.233
5.5 152.006
5.6 151.78
5.7 151.554
5.8 151.329
5.9 151.105
6 150.881
6.1 150.658
6.2 150.436
6.3 150.214
6.4 149.994
6.5 149.774
6.6 149.555
6.7 149.338
6.8 149.121
6.9 148.904
7 148.689
7.1 148.475
7.2 148.262
7.3 148.049
7.4 147.838
7.5 147.627
7.6 147.418
7.7 147.209
7.8 147.001
7.9 146.794
8 146.588
8.1 146.383
8.2 146.179
8.3 145.975
8.4 145.773
8.5 145.571
8.6 145.37
8.7 145.17
8.8 144.971
8.9 144.772
9 144.575
9.1 144.378
9.2 144.182
9.3 143.987
9.4 143.793
9.5 143.599
9.6 143.406
9.7 143.214
9.8 143.023
9.9 142.832
